202;290;0
202;290;105
198;289;115
191;280;122
187;272;130
183;266;138
176;257;146
167;244;154
157;230;163
144;213;171
138;203;179
131;190;186
124;177;194
118;166;202
112;155;209
107;143;218
102;132;225
96;120;234
91;106;242
87;94;250
81;82;258
77;71;266
74;63;274
70;54;282
69;45;291
65;35;298
64;28;307
63;21;313
61;17;321
60;12;331
60;10;338
59;7;346
57;4;354
57;3;361
56;2;371
58;2;1146
61;0;1153
68;0;1162
84;9;1170
102;17;1178
122;32;1186
140;42;1194
159;55;1202
176;68;1209
198;82;1217
211;89;1225
221;96;1234
226;100;1242
234;105;1250
238;106;1257
242;108;1267
246;111;1274
250;114;1282
256;114;1291
260;118;1298
268;122;1307
276;127;1314
287;134;1322
298;138;1330
309;142;1339
320;148;1346
329;154;1354
338;159;1362
344;163;1371
350;169;1378
354;172;1385
358;176;1394
362;177;1402
363;179;1409
365;181;1417
366;182;1426
366;182;1466
367;184;1571
367;186;1578
368;189;1587
371;192;1594
372;193;1603
374;196;1610
374;197;1626
374;196;2370
374;196;4098
373;196;4339
372;196;4347
369;196;4355
368;196;4363
366;196;4371
364;197;4378
362;198;4386
356;198;4393
338;196;4401
311;188;4409
295;184;4417
283;180;4425
268;176;4433
255;174;4441
244;170;4449
236;168;4457
229;168;4465
225;166;4473
220;165;4481
216;165;4489
211;165;4498
204;164;4506
198;163;4514
188;161;4521
180;160;4529
170;159;4537
160;159;4545
150;158;4554
142;158;4562
131;158;4570
120;158;4578
112;158;4587
103;158;4593
94;158;4602
86;158;4610
79;158;4618
72;158;4627
64;158;4634
59;158;4642
51;158;4650
46;158;4658
39;158;4667
31;158;4674
26;158;4681
18;158;4690
12;158;4698
6;158;4705
4;158;4713
2;158;4723
0;158;4730
6;156;4867
12;154;4874
22;151;4883
32;146;4891
39;144;4899
48;138;4906
56;133;4914
65;126;4921
74;121;4930
85;113;4938
96;106;4946
107;100;4955
118;94;4962
136;86;4970
151;80;4978
166;74;4985
180;70;4994
197;64;5002
212;58;5010
226;54;5018
238;51;5027
249;47;5034
258;46;5042
267;42;5050
275;40;5058
282;38;5066
286;36;5074
294;34;5082
297;32;5089
300;31;5098
302;30;5105
304;30;5114
304;29;5123
304;32;5275
300;40;5282
296;52;5290
290;66;5298
284;77;5306
278;90;5314
274;100;5322
268;109;5329
266;118;5337
261;127;5345
256;138;5354
252;148;5362
249;159;5370
246;170;5377
242;178;5386
238;188;5393
234;198;5402
230;208;5410
228;217;5418
223;226;5425
219;235;5434
214;245;5442
212;254;5450
207;261;5457
203;267;5465
199;274;5473
198;277;5482
194;283;5489
192;288;5497
190;291;5505
189;294;5513
188;297;5521
188;298;5529
186;303;5537
186;304;5545
186;306;5553
184;307;5562
184;308;5571
184;309;5586
