32;0;0
33;0;73
34;0;90
34;0;97
36;0;106
38;2;121
41;3;138
42;4;146
43;4;154
44;4;162
47;4;170
48;4;177
50;4;185
52;4;193
55;6;201
57;6;209
60;6;217
64;6;225
70;8;232
76;8;241
82;8;250
86;10;257
92;10;265
98;10;273
102;10;281
104;10;289
108;10;297
110;10;305
112;10;314
112;10;322
113;12;466
113;14;473
113;18;481
113;22;489
113;28;497
110;36;506
108;43;513
106;51;521
104;58;530
104;66;538
104;73;546
104;80;553
104;86;563
104;93;569
104;100;577
104;106;585
104;114;593
104;120;601
104;127;609
105;136;617
105;142;624
105;151;632
105;160;641
106;167;649
106;176;657
106;182;666
106;189;674
106;193;682
106;197;690
106;199;697
106;201;705
106;202;713
106;204;722
106;205;730
106;206;737
106;206;866
106;206;882
105;206;889
104;206;898
103;207;905
103;208;913
101;208;920
94;208;928
85;208;936
76;207;944
65;206;952
54;203;960
46;203;968
36;202;976
26;200;984
19;200;992
12;200;1001
8;200;1008
6;200;1016
3;200;1024
1;200;1032
0;200;1040
