24;4;0
24;8;25
22;11;33
19;16;42
17;20;50
15;24;58
12;29;65
10;32;73
6;38;81
5;40;89
4;43;97
3;46;104
3;48;113
3;50;121
3;52;129
3;54;137
3;56;146
5;58;154
7;59;162
8;59;171
11;62;178
15;62;185
19;62;193
23;62;201
27;63;210
33;63;218
37;63;226
41;63;233
45;63;242
48;63;250
49;63;258
51;63;266
52;63;274
53;63;282
55;62;290
56;61;298
57;60;314
57;60;330
57;59;346
57;58;354
57;56;363
57;54;370
57;51;378
55;48;387
49;42;395
44;36;402
37;32;409
30;26;418
23;20;426
17;14;433
11;8;442
5;4;450
1;1;459
0;0;467
