3;20;0
5;20;0
6;20;10
8;20;19
11;20;27
14;22;34
17;23;43
18;24;51
23;26;59
25;28;67
28;29;74
33;31;81
35;32;90
38;34;98
41;35;107
42;36;113
46;37;122
47;38;130
48;38;139
52;39;146
55;42;155
56;42;162
60;45;170
62;46;177
65;49;187
68;50;194
69;51;203
70;52;211
71;54;219
72;54;227
73;56;234
73;55;371
73;48;378
73;44;386
73;41;394
73;37;402
73;34;409
73;30;418
73;28;425
73;24;434
73;20;441
73;18;449
73;16;457
72;11;465
72;9;474
71;6;481
71;6;489
70;4;497
70;2;505
70;2;514
70;1;545
69;0;563
68;0;626
65;3;634
58;8;641
55;12;649
48;18;658
41;23;666
36;28;674
31;34;682
26;40;690
22;45;698
17;51;705
13;57;713
10;63;722
8;66;730
5;70;739
4;73;746
2;76;755
0;78;763
0;78;770
0;79;778
0;80;786
