0;0;0
1;1;2
3;4;12
5;8;19
8;10;26
11;14;34
14;17;43
17;22;51
21;27;59
26;33;67
31;38;76
35;43;83
42;48;92
47;53;99
51;58;107
58;63;116
64;68;124
69;73;132
73;76;140
79;80;147
81;83;156
83;85;163
85;86;171
85;87;179
86;88;186
87;88;1092
89;81;1148
89;73;1156
89;67;1163
89;60;1171
87;51;1179
85;44;1187
82;34;1194
82;29;1203
81;24;1212
80;19;1220
80;15;1228
80;11;1235
77;5;1243
77;4;1251
77;3;1259
77;1;1267
77;0;1275
77;0;1355
75;0;1372
72;6;1379
66;15;1387
62;22;1394
57;31;1404
51;39;1411
46;47;1419
41;54;1428
36;62;1436
31;68;1443
27;74;1452
24;78;1462
21;82;1467
17;88;1476
15;91;1483
12;94;1491
11;97;1499
8;100;1506
7;102;1515
6;104;1523
5;104;1532
5;105;1548
