7;0;0
5;1;1
3;3;11
2;6;19
1;8;27
1;12;36
1;17;43
1;21;51
1;26;59
2;31;66
4;39;75
7;45;83
8;50;91
11;54;98
12;58;107
12;63;114
14;68;122
15;73;130
15;80;139
15;86;146
15;92;154
14;99;163
11;107;171
10;114;178
6;122;186
4;126;194
3;129;202
2;130;210
1;132;218
1;132;227
0;133;258
0;132;346
2;132;357
10;132;363
15;132;372
22;136;378
31;141;386
36;145;395
40;148;402
44;152;410
48;155;418
49;158;426
50;160;434
53;163;442
53;167;450
54;170;458
55;177;466
55;181;475
55;188;483
57;195;491
57;199;499
57;202;507
58;207;515
58;209;523
58;212;531
58;214;539
59;216;547
59;220;556
60;222;565
60;223;571
61;224;580
62;226;587
62;228;595
63;231;603
64;232;611
65;234;619
66;236;627
67;240;635
68;242;643
69;243;651
70;245;659
71;246;667
72;247;683
72;247;756
74;247;780
75;247;787
78;247;795
82;247;803
87;247;811
91;247;819
95;247;827
100;247;835
104;247;843
106;247;852
