26;0;0
27;0;34
31;1;44
33;2;51
36;5;59
39;6;67
43;9;75
46;12;83
48;14;91
51;17;98
55;21;107
58;24;114
64;30;122
66;33;130
71;39;139
76;44;146
80;50;154
85;56;162
89;61;170
93;68;179
98;76;186
104;80;194
108;88;203
112;94;211
117;101;219
121;107;228
126;113;235
131;120;242
135;124;250
136;128;259
140;131;267
142;136;275
144;138;282
146;140;292
147;142;299
147;142;308
148;143;315
147;144;412
146;144;436
146;144;444
146;144;451
142;146;460
139;146;467
132;147;476
125;147;483
116;148;492
110;148;500
104;148;508
98;148;515
91;148;523
86;148;531
80;148;539
74;148;548
69;148;556
65;148;564
61;148;571
57;148;578
52;148;587
46;148;596
40;148;603
35;148;611
31;148;619
27;148;627
23;148;635
20;148;644
16;148;651
14;148;660
11;148;668
8;148;675
4;148;682
2;148;691
0;148;699
0;148;707
0;148;876
1;148;883
3;147;891
6;146;899
6;146;906
10;142;914
15;137;922
19;134;930
24;130;939
28;127;946
34;122;955
40;117;962
46;112;971
50;108;978
56;100;988
63;94;996
70;88;1002
78;80;1010
83;76;1018
92;70;1026
98;64;1034
102;60;1043
107;55;1051
112;51;1059
117;46;1068
123;42;1076
128;38;1083
132;35;1091
136;31;1099
140;28;1106
144;24;1115
146;22;1124
147;20;1131
149;18;1139
150;16;1147
151;15;1154
152;14;1162
153;12;1171
154;12;1179
154;11;1188
155;10;1204
154;9;1363
